"State","year","mean_no2","mean_o3","mean_so2","mean_co"
"Connecticut",2006,17.4441664651163,0.0260860174418605,3.19609703488372,0.477757034883721
"Connecticut",2007,12.6199946542751,0.029019812267658,1.7516646802974,0.31565757527881
"Connecticut",2008,10.5423814603015,0.0260843587939699,1.24922590854271,0.343891213065327
"Connecticut",2009,10.8606800241563,0.0237630891651865,1.4085442401421,0.313645865008881
"Connecticut",2010,9.73902812734082,0.0274742759051186,0.949623484394507,0.279957096754057
"Connecticut",2011,8.53336110536218,0.0289712187206021,0.902435961429915,0.221253443555974
"Connecticut",2012,7.2763090317757,0.0301937271028037,0.642234706074766,0.213408106542056
"Connecticut",2013,7.4113358390677,0.0311948990011099,0.551675099889012,0.20313938845727
"Connecticut",2014,7.23745221624714,0.0303854496567506,0.573245177345538,0.202234651601831
"Connecticut",2015,8.04510361066049,0.0311033568945539,0.365638450173812,0.215428207415991
"Country Of Mexico",2006,20.451521242842,0.0230114231177094,1.59702092629905,0.89202948621421
"Country Of Mexico",2007,20.3726323178571,0.0224613821428571,1.64067193452381,0.804534830952381
"Country Of Mexico",2008,20.1116224781491,0.0211414935732648,1.67578020179949,0.796606700514139
"Country Of Mexico",2009,23.0326883888889,0.0223211296296296,5.86755492592593,1.0397330462963
"Country Of Mexico",2010,18.5910497632312,0.0221874735376045,1.95731183008357,0.807801735376045
"Country Of Mexico",2011,22.3873835460993,0.016822853427896,3.58231677541371,0.913637486997636
"Delaware",2011,11.0712329761905,0.024982753968254,1.22625909920635,0.24730206547619
"Delaware",2012,12.4681779075269,0.0264963333333333,1.0000634344086,0.266090329032258
"Delaware",2013,10.7921268837209,0.0289406744186047,0.898067034883721,0.238503007751938
"Delaware",2014,11.6793194522613,0.026187391959799,1.12289573115578,0.255936165829146
"Delaware",2015,10.0754217692308,0.0283735475113122,0.739750522624434,0.300650343891403
"Delaware",2016,13.771055452381,0.0251589404761905,0.828227196428571,0.282874422619048
"District Of Columbia",2000,22.7257173076923,0.0175673956043956,8.13753984203297,1.17569596978022
"District Of Columbia",2001,24.4743111833811,0.020935893982808,6.65134869197708,1.07542410888252
"District Of Columbia",2002,24.4410358027397,0.0241504410958904,6.71270869041096,1.15879478356164
"District Of Columbia",2003,22.6407543490305,0.0193718476454294,8.32318670360111,0.896369944598338
"District Of Columbia",2004,20.9564037252747,0.0194981758241758,6.47504452884615,0.61758904532967
"District Of Columbia",2005,20.836788359116,0.0216435718232044,4.48395299447514,0.848891513812155
"District Of Columbia",2006,15.966559909589,0.0267040191780822,4.52500288219178,1.11584840821918
"District Of Columbia",2007,15.3321439555556,0.0285555703703704,5.02101617037037,1.19690473481481
"District Of Columbia",2008,18.0577992361111,0.0264677,5.55644820277778,1.22156233333333
"District Of Columbia",2009,18.3029540690608,0.0236562154696133,4.52905998756906,0.865724571823204
"District Of Columbia",2010,17.6439175549451,0.0282399945054945,3.36086526923077,0.883861082417582
"District Of Columbia",2011,15.9287996643599,0.0245848569780854,3.59968346193772,0.668864043252595
"District Of Columbia",2012,16.2730872744925,0.0259157475728155,1.68219692056487,0.594510048543689
"District Of Columbia",2013,11.5003487114504,0.025505441221374,0.990978005343511,0.340435645801527
"District Of Columbia",2014,12.3029433700234,0.0245951381733021,1.1175846030445,0.358650227166276
"District Of Columbia",2015,13.2331565567322,0.0266685158850227,1.26808194175492,0.272984125567322
"District Of Columbia",2016,12.4606498448276,0.0310571551724138,0.971955931034483,0.257101543103448
"Florida",2000,12.4530383230337,0.0262612612359551,1.97391214325843,0.725071884831461
"Florida",2001,12.3875942382979,0.0241623758865248,1.14791793191489,0.638525324822695
"Florida",2002,11.313961369146,0.0231680247933884,0.661946027548209,0.471432887052342
"Florida",2003,10.9298128425414,0.0234166104972376,0.656063455801105,0.441271744475138
"Florida",2004,9.51647252247191,0.0259640449438202,0.648297862359551,0.520814255617978
"Florida",2005,8.64435950969529,0.0270138670360111,0.519624747922438,0.564061502770083
"Florida",2006,8.51996240547945,0.0291914794520548,0.390759616438356,0.389184608219178
"Florida",2007,6.13631201508916,0.0284643113854595,0.659284710562414,0.284006198216735
"Florida",2008,5.2142512625,0.0278275625,0.55133944765625,0.22352113828125
"Florida",2009,6.02794212356322,0.0284743477011494,0.121431058908046,0.33761266091954
"Florida",2010,5.67248938997214,0.0288820250696379,0.147791236768802,0.394004694986072
"Florida",2011,5.36186950410959,0.0281310082191781,0.0964447287671233,0.433694930136986
"Florida",2012,5.40692617759563,0.0269018961748634,0.0596099371584699,0.382462381147541
"Florida",2013,4.54572687042254,0.0260271661971831,-0.0258198225352113,0.297425012676056
"Florida",2014,4.97945160555556,0.0260222861111111,0.1093330875,0.457568145833333
"Florida",2015,4.10964224786325,0.0257075925925926,0.0350668219373219,0.514102397435897
"Florida",2016,5.49286895604396,0.0292129230769231,0.396408197802198,0.57366843956044
"Georgia",2010,16.5006564347826,0.0165835217391304,1.14794517391304,0.396889190217391
"Georgia",2011,13.3811852865014,0.0229862424242424,0.893666757575758,0.331725450413223
"Georgia",2012,11.5832594580468,0.0220311444291609,0.439521522008253,0.3305437303989
"Georgia",2013,9.43966956195965,0.0197093746397695,0.321742694524496,0.297998074927954
"Georgia",2014,10.4295433848315,0.0200542162921348,0.359923981741573,0.313541029494382
"Georgia",2015,9.67300324277457,0.0192264913294798,0.254999252890173,0.313777101156069
"Georgia",2016,11.9353261111111,0.019770380952381,0.288652952380952,0.317169595238095
"Hawaii",2011,2.88973055120733,0.0270789758534555,0.909626530391341,0.316353199000833
